base_id,family_id,display_name,slot,idle,walk,run,manifest
elf-01,sleeveless-travel-tunic,Sleeveless Travel Tunic,torso,elf-01/sleeveless-travel-tunic/idle.png,elf-01/sleeveless-travel-tunic/walk.png,elf-01/sleeveless-travel-tunic/run.png,elf-01/sleeveless-travel-tunic/cleanup_manifest.json
tiefling-female-01,sleeveless-travel-tunic,Sleeveless Travel Tunic,torso,tiefling-female-01/sleeveless-travel-tunic/idle.png,tiefling-female-01/sleeveless-travel-tunic/walk.png,tiefling-female-01/sleeveless-travel-tunic/run.png,tiefling-female-01/sleeveless-travel-tunic/cleanup_manifest.json
dwarf-male-01,sleeveless-travel-tunic,Sleeveless Travel Tunic,torso,dwarf-male-01/sleeveless-travel-tunic/idle.png,dwarf-male-01/sleeveless-travel-tunic/walk.png,dwarf-male-01/sleeveless-travel-tunic/run.png,dwarf-male-01/sleeveless-travel-tunic/cleanup_manifest.json
human-muscular-male-01,sleeveless-travel-tunic,Sleeveless Travel Tunic,torso,human-muscular-male-01/sleeveless-travel-tunic/idle.png,human-muscular-male-01/sleeveless-travel-tunic/walk.png,human-muscular-male-01/sleeveless-travel-tunic/run.png,human-muscular-male-01/sleeveless-travel-tunic/cleanup_manifest.json
elf-01,cap-sleeve-field-shirt,Cap-Sleeve Field Shirt,torso,elf-01/cap-sleeve-field-shirt/idle.png,elf-01/cap-sleeve-field-shirt/walk.png,elf-01/cap-sleeve-field-shirt/run.png,elf-01/cap-sleeve-field-shirt/cleanup_manifest.json
tiefling-female-01,cap-sleeve-field-shirt,Cap-Sleeve Field Shirt,torso,tiefling-female-01/cap-sleeve-field-shirt/idle.png,tiefling-female-01/cap-sleeve-field-shirt/walk.png,tiefling-female-01/cap-sleeve-field-shirt/run.png,tiefling-female-01/cap-sleeve-field-shirt/cleanup_manifest.json
dwarf-male-01,cap-sleeve-field-shirt,Cap-Sleeve Field Shirt,torso,dwarf-male-01/cap-sleeve-field-shirt/idle.png,dwarf-male-01/cap-sleeve-field-shirt/walk.png,dwarf-male-01/cap-sleeve-field-shirt/run.png,dwarf-male-01/cap-sleeve-field-shirt/cleanup_manifest.json
human-muscular-male-01,cap-sleeve-field-shirt,Cap-Sleeve Field Shirt,torso,human-muscular-male-01/cap-sleeve-field-shirt/idle.png,human-muscular-male-01/cap-sleeve-field-shirt/walk.png,human-muscular-male-01/cap-sleeve-field-shirt/run.png,human-muscular-male-01/cap-sleeve-field-shirt/cleanup_manifest.json
elf-01,long-sleeve-linen-shirt,Long-Sleeve Linen Shirt,torso,elf-01/long-sleeve-linen-shirt/idle.png,elf-01/long-sleeve-linen-shirt/walk.png,elf-01/long-sleeve-linen-shirt/run.png,elf-01/long-sleeve-linen-shirt/cleanup_manifest.json
tiefling-female-01,long-sleeve-linen-shirt,Long-Sleeve Linen Shirt,torso,tiefling-female-01/long-sleeve-linen-shirt/idle.png,tiefling-female-01/long-sleeve-linen-shirt/walk.png,tiefling-female-01/long-sleeve-linen-shirt/run.png,tiefling-female-01/long-sleeve-linen-shirt/cleanup_manifest.json
dwarf-male-01,long-sleeve-linen-shirt,Long-Sleeve Linen Shirt,torso,dwarf-male-01/long-sleeve-linen-shirt/idle.png,dwarf-male-01/long-sleeve-linen-shirt/walk.png,dwarf-male-01/long-sleeve-linen-shirt/run.png,dwarf-male-01/long-sleeve-linen-shirt/cleanup_manifest.json
human-muscular-male-01,long-sleeve-linen-shirt,Long-Sleeve Linen Shirt,torso,human-muscular-male-01/long-sleeve-linen-shirt/idle.png,human-muscular-male-01/long-sleeve-linen-shirt/walk.png,human-muscular-male-01/long-sleeve-linen-shirt/run.png,human-muscular-male-01/long-sleeve-linen-shirt/cleanup_manifest.json
elf-01,cropped-training-top,Cropped Training Top,torso,elf-01/cropped-training-top/idle.png,elf-01/cropped-training-top/walk.png,elf-01/cropped-training-top/run.png,elf-01/cropped-training-top/cleanup_manifest.json
tiefling-female-01,cropped-training-top,Cropped Training Top,torso,tiefling-female-01/cropped-training-top/idle.png,tiefling-female-01/cropped-training-top/walk.png,tiefling-female-01/cropped-training-top/run.png,tiefling-female-01/cropped-training-top/cleanup_manifest.json
dwarf-male-01,cropped-training-top,Cropped Training Top,torso,dwarf-male-01/cropped-training-top/idle.png,dwarf-male-01/cropped-training-top/walk.png,dwarf-male-01/cropped-training-top/run.png,dwarf-male-01/cropped-training-top/cleanup_manifest.json
human-muscular-male-01,cropped-training-top,Cropped Training Top,torso,human-muscular-male-01/cropped-training-top/idle.png,human-muscular-male-01/cropped-training-top/walk.png,human-muscular-male-01/cropped-training-top/run.png,human-muscular-male-01/cropped-training-top/cleanup_manifest.json
elf-01,padded-gambeson,Padded Gambeson,outerwear,elf-01/padded-gambeson/idle.png,elf-01/padded-gambeson/walk.png,elf-01/padded-gambeson/run.png,elf-01/padded-gambeson/cleanup_manifest.json
tiefling-female-01,padded-gambeson,Padded Gambeson,outerwear,tiefling-female-01/padded-gambeson/idle.png,tiefling-female-01/padded-gambeson/walk.png,tiefling-female-01/padded-gambeson/run.png,tiefling-female-01/padded-gambeson/cleanup_manifest.json
dwarf-male-01,padded-gambeson,Padded Gambeson,outerwear,dwarf-male-01/padded-gambeson/idle.png,dwarf-male-01/padded-gambeson/walk.png,dwarf-male-01/padded-gambeson/run.png,dwarf-male-01/padded-gambeson/cleanup_manifest.json
human-muscular-male-01,padded-gambeson,Padded Gambeson,outerwear,human-muscular-male-01/padded-gambeson/idle.png,human-muscular-male-01/padded-gambeson/walk.png,human-muscular-male-01/padded-gambeson/run.png,human-muscular-male-01/padded-gambeson/cleanup_manifest.json
elf-01,leather-jerkin,Leather Jerkin,outerwear,elf-01/leather-jerkin/idle.png,elf-01/leather-jerkin/walk.png,elf-01/leather-jerkin/run.png,elf-01/leather-jerkin/cleanup_manifest.json
